#,Node Name (Chinese),Coordinates,Function Description
1,"Danjiangkou Reservoir
丹江口水库","32.55611°N, 111.48806°E","Primary water source storing Han River water. Multi-purpose reservoir for water supply (13 billion m³/year), flood control, and hydroelectric power. Dam raised 2005-2009."
2,"Taocha Canal Head Works
陶岔渠首枢纽","32.70°N, 111.48°E","Controls water entry from Danjiangkou Reservoir into main conveyance canal. Starting point of the 1,267 km gravity-fed central route."
3,"Yellow River Crossing Tunnel
穿黄工程","34.88°N, 113.22°E","Canal crosses underneath Yellow River via 4.25 km twin tunnels. Maximum depth 35 m below riverbed, capacity 280 m³/s."
4,"Zhengzhou Distribution Hub
郑州分水口","34.88194°N, 113.22056°E",Key distribution point serving Henan’s capital Zhengzhou. One of 39 major diversion gates in Henan province.
5,"Xuchang Control Center
许昌调度中心","34.0°N, 113.8°E",Geographical center of water distribution in Henan section. Houses major automated control gates.
6,"Jiaozuo Urban Canal Section
焦作城区段","35.22°N, 113.21°E","Unique open canal running through downtown Jiaozuo, forming a 10-km green corridor. Supplies >430 million m³/year to the city."
7,"Anyang River Crossings
安阳渡槽","36.1°N, 114.4°E",Large aqueduct and tunnel complex crossing the Zhanghe and Tang Rivers in northern Henan.
8,"Shijiazhuang Water Terminal
石家庄终端","38.04°N, 114.51°E",Primary supply point for Hebei province capital. Benefits >5 million people and eliminated high-fluoride groundwater use.
9,"Beijing Terminal – Tuancheng Lake
北京团城湖调节池","39.98°N, 116.27°E",Final above-ground receiving point for Beijing. Supplies >70% of the city’s urban tap water via 75 km of buried pipelines.
10,"Tianjin Terminal
天津外环河出口闸","39.1°N, 117.2°E",End point of the 154 km eastern branch line. Main water source for Tianjin municipality.
